7-First-Solar_pred1_iTransformer,0.079,0.1867,0.9622,0.0006
7-First-Solar_pred1_iTransformer,0.0792,0.1839,0.9633,0.003
1B_pred1_iTransformer,0.0839,0.1812,0.9394,0.0006
1B_pred1_iTransformer,0.0659,0.1417,0.963,0.0046
1B_pred1_iTransformer,0.0659,0.1417,0.963,0.0046
7-First-Solar_pred1_iTransformer,0.0765,0.1799,0.9649,0.0026
7-First-Solar_pred1_iTransformer,0.0783,0.1849,0.9629,0.0034
7-First-Solar_pred1_iTransformer,0.0765,0.1799,0.9649,0.0026
7-First-Solar_pred1_iTransformer,0.0765,0.1816,0.9643,0.0047
7-First-Solar_pred1_iTransformer,0.0806,0.1872,0.962,0.0036
7-First-Solar_pred1_iTransformer_Spring,0.1518,0.3528,0.962,0.0068
7-First-Solar_pred1_iTransformer_Spring,0.1455,0.3448,0.9637,0.0004
